gname,alias,glong,glat,plx,e_plx,mux,e_mux,muy,e_muy,vlsr,e_vlsr,Upec,Vpec,is_tooclose,is_outlier
G094.60-01.79,AFGL2789,94.60251907932413,-1.7961221860465217,0.221,0.013,-3.49,0.23,-2.65,0.23,-43.0,3.0,3.374841855524392,-8.95832490283459,0,0
G095.29-00.93,G095.29-0.93,95.29640928036791,-0.9369260916592836,0.206,0.015,-2.74,0.3,-2.85,0.37,-38.0,5.0,-7.551660343091571,-5.108142466928911,0,0
G097.53+03.18,G097.53+3.18,97.53059757689884,3.1837137655061762,0.133,0.017,-2.94,0.29,-2.48,0.29,-73.0,5.0,9.678253343264378,6.910050188859316,0,0
G100.37-03.57,G100.37-3.57,100.37795140467924,-3.5784380506319797,0.289,0.016,-3.66,0.6,-3.02,0.6,-37.0,10.0,12.8136458870757,-2.9184933749763218,0,0
G105.41+09.87,G105.42+9.88,105.4153407995665,9.87819014043937,1.129,0.063,-0.21,1.2,-5.49,1.2,-10.0,5.0,7.752885735848897,-2.622994881723571,0,0
G107.29+05.63,IRAS22198+6336,107.29814849705511,5.639738909923124,1.288,0.107,-2.47,1.4,0.26,1.4,-11.0,5.0,4.320348468764426,-8.843811435986709,0,0
G108.18+05.51,G108.18+5.51,108.18440412713686,5.5187141741030175,1.092,0.018,0.26,1.15,-2.26,1.2,-11.0,3.0,-2.071938769256709,-8.137969920572203,0,0
G108.20+00.58,G108.20+0.58,108.20757925425059,0.5885686601049679,0.227,0.037,-2.25,0.5,-1.0,0.5,-49.0,10.0,-11.161703183837757,-13.346434619032834,0,0
G108.42+00.89,IRAS22480+6002,108.4254619510017,0.8938797786704659,0.4,0.05,-2.58,0.6,-1.91,0.5,-51.0,5.0,12.293174252012285,-25.21988201126524,0,1
G108.47-02.81,G108.48-2.80,108.47140082934065,-2.81828263849846,0.309,0.01,-3.13,0.49,-2.79,0.46,-54.0,5.0,20.14426842986029,-12.511056943895397,0,0
G109.87+02.11,G109.87+2.11,109.87114054361915,2.1142331144652298,1.228,0.024,-1.03,1.3,-2.62,1.33,-7.0,5.0,2.8118918145271583,-2.407268341482819,0,0
G111.25-00.76,G111.25-0.77,111.2556473204034,-0.7697600325004578,0.28,0.015,-2.69,0.28,-1.75,0.33,-40.0,3.0,1.0623862858853867,-1.0453711232741512,0,0
G115.05-00.04,PZCas,115.05817049311926,-0.04780508349368345,0.356,0.04,-3.7,0.78,-2.0,0.81,-36.0,5.0,16.158206361594182,7.217677725753191,0,0
G121.29+00.65,L1287,121.29772769898064,0.6586746380665055,1.077,0.039,-0.86,1.19,-2.29,1.23,-23.0,5.0,9.568209642652182,-11.306730538700037,0,0
G122.01-07.08,IRAS00420+5530,122.01613080261146,-7.080364464508809,0.46,0.02,-3.7,0.5,-1.25,0.5,-50.0,5.0,29.967517151944286,-6.061921278321051,0,0
G123.06-06.30,NGC281,123.06687111330832,-6.307458387127732,0.355,0.03,-2.79,0.62,-2.14,0.7,-30.0,5.0,6.0075499729528685,8.78379321332963,0,0
G123.06-06.30,NGC281W,123.06571286094899,-6.309503596002619,0.421,0.022,-2.69,0.31,-1.77,0.29,-29.0,3.0,7.294342561401481,4.385730886341804,0,0
G133.94+01.06,W3OH,133.94727176505737,1.0643603638741193,0.512,0.01,-1.2,0.32,-0.15,0.32,-47.0,3.0,20.53210070814445,-11.8808445038473,0,1
G134.62-02.19,SPer,134.62067979354035,-2.1949947866937314,0.413,0.017,-0.49,0.5,-1.19,0.48,-39.0,5.0,3.006808040575684,-13.074237994830355,0,0
G135.27+02.79,G135.27+2.79,135.27736804841592,2.7977111744013468,0.167,0.011,-1.22,0.3,0.46,0.36,-72.0,3.0,14.636246012366108,8.411064420269383,0,0
G160.14+03.15,G160.14+3.16,160.14595613846592,3.156587279744636,0.244,0.006,0.87,0.35,-1.32,0.29,-18.0,5.0,-11.643456674476004,-16.64527497870236,0,0
G168.06+00.82,G168.06+0.82,168.06255332305665,0.821792774472923,0.187,0.022,0.44,0.29,-0.78,0.35,-25.0,5.0,5.236957582228535,-6.117312565007154,0,0
G170.65-00.24,IRAS05168+3634,170.65992509395934,-0.24715863540958827,0.532,0.075,0.23,1.2,-3.14,0.6,-19.0,5.0,10.956835536978092,-11.913331531118928,0,0
G173.48+02.44,G173.48+2.44,173.48170012167827,2.4461502394068226,0.594,0.014,0.62,0.63,-2.34,0.63,-13.0,5.0,8.46563151844869,-5.679468945799812,0,0
G174.20-00.07,AFGL5142,174.20078576569145,-0.0705774365495289,0.467,0.02,0.32,0.56,-0.22,0.68,-2.0,10.0,-1.7432229023575736,10.866339463549394,0,0
G176.51+00.20,G176.52+0.20,176.51553308044686,0.20080473039159558,1.038,0.021,1.84,1.0,-5.86,1.0,-17.0,5.0,15.008821779584057,-15.758372062553065,0,0
G183.72-03.66,G183.72-3.66,183.72001748339744,-3.664334779789013,0.629,0.012,0.38,1.3,-1.32,1.3,3.0,5.0,-0.9324600213189851,1.9434634557573247,0,0
G188.94+00.88,S252,188.94613651904677,0.8859910867416382,0.476,0.006,-0.32,0.49,-1.94,0.49,8.0,5.0,-0.2597768090277598,-4.534978422260849,0,0
G192.16-03.81,G192.16-3.84,192.16092268505201,-3.8166167234548865,0.66,0.04,0.7,0.78,-1.8,0.86,5.0,5.0,2.721116590451408,-4.672896386279604,0,0
G192.60-00.04,S255,192.60026439965375,-0.0480346259467824,0.601,0.039,-0.18,0.6,-0.43,0.6,7.0,5.0,-0.06096162096682602,6.37175118835907,0,0
G196.45-01.67,S269,196.45392144831814,-1.6772835839025606,0.242,0.011,0.2,0.27,-0.73,0.27,19.0,5.0,4.143418472364069,-5.728577236823867,0,0
G209.00-19.38,Orion,209.00710381792572,-19.385407367876443,2.421,0.019,3.13,3.06,-1.1,3.71,3.0,5.0,-0.8255218504141262,-3.7974257725752807,0,0
G211.59+01.05,G211.60+1.06,211.59287992686757,1.0558432850287698,0.239,0.01,-0.79,0.62,0.05,0.66,45.0,5.0,-5.0020856136905065,-4.273220816038162,0,0
G213.70-12.59,G213.70-12.6,213.7048951069795,-12.596933374924088,1.148,0.03,-1.3,1.2,2.2,1.2,11.0,3.0,-6.3387086446105005,4.869276417509951,0,0
G217.79+01.05,V838Mon,217.79735918637314,1.0521676307724253,0.163,0.016,-0.54,0.23,0.08,0.17,49.0,5.0,13.322290495466511,-9.922005086168525,0,0
G229.57+00.15,G229.57+0.15,229.5710310736511,0.1511496337363216,0.218,0.012,-1.33,0.7,0.77,0.7,47.0,10.0,13.416081804028577,-9.028540723170067,0,0
G232.62+00.99,G232.62+1.00,232.62047648552957,0.9956623329523018,0.596,0.035,-2.17,0.38,2.09,0.6,21.0,3.0,1.629203232041759,-3.301904031174672,0,0
G236.81+01.98,G236.81+1.98,236.8158559066961,1.9834377864193748,0.326,0.026,-2.49,0.43,2.67,0.41,43.0,5.0,-7.9231826972657124,-0.09246263527680298,0,0
G239.35-05.06,VYCMa,239.3525543239775,-5.065400957531599,0.855,0.057,-2.8,0.58,2.6,0.58,20.0,3.0,-0.6174426134483144,-10.084283826575842,0,0
G240.31+00.07,G240.31+0.07,240.31556192003987,0.07129338852107177,0.187,0.014,-1.55,0.5,2.57,0.3,68.0,5.0,-7.637926259488663,0.7054204289862298,0,0
G305.20+00.01,G305.20+0.20,305.20013220042534,0.11794341636129109,0.25,0.05,-6.9,0.33,-0.52,0.33,-43.0,5.0,-4.915979033487232,-5.067972624502858,0,0
G339.88-01.25,G339.88-1.25,339.8839744426684,-1.2588444151556561,0.48,0.08,-1.6,0.52,-1.9,0.52,-34.0,3.0,-6.506730815560635,1.7746545806751328,0,0
G348.70-01.04,G348.70-1.04,348.7036894831859,-1.043576662219392,0.296,0.026,-0.73,0.31,-2.83,0.59,-9.0,5.0,13.985346043725935,-25.15735207356076,0,0
G351.44+00.65,G351.45+0.66,351.4449426111547,0.6596624023223397,0.752,0.069,0.31,0.58,-2.17,0.9,-8.0,3.0,0.12086760394659585,1.3879933871584456,0,0
G359.61-00.24,G359.61-0.24,359.6146910246702,-0.24315899246129866,0.375,0.021,1.0,0.4,-1.5,0.5,21.0,5.0,21.875097307100187,1.6087241961435836,0,0
