gname,peak_pdf,peak_hpd,error
G052.10+01.04,5.987175518230865,6.045632632632632,-0.05845711440176693
G054.10-00.08,4.183391881421354,4.1893983983983984,-0.006006516977044463
G055.37+00.18,3.5611788112927663,3.5883283283283283,-0.02714951703556201
G056.09+02.09,3.679521496118209,3.5983993993993995,0.08112209671880954
G058.77+00.64,3.232642388626171,3.2636946946946948,-0.031052306068523716
G059.47-00.18,1.861695831964288,1.8522882882882885,0.009407543675999497
G059.78+00.06,2.1518265957697467,2.145953953953954,0.005872641815792612
G059.83+00.67,4.104936375872811,4.109882882882884,-0.0049465070100733755
G060.57-00.18,8.024958811825048,8.04990990990991,-0.024951098084862622
G069.54-00.97,2.4580242450297547,2.4645945945945944,-0.006570349564839706
G070.18+01.74,6.2807851894293165,6.266747747747747,0.014037441681569618
G071.31+00.82,4.542908842541886,4.576496496496496,-0.033587653954610275
G071.52-00.38,3.5486441606069263,3.4981811811811814,0.05046297942574496
G074.03-01.71,1.5875092729256264,1.5804634634634631,0.007045809462163266
G075.29+01.32,9.105714739057275,9.167192192192193,-0.061477453134918036
G075.76+00.33,3.467924037811201,3.507067067067067,-0.039143029255866324
G075.78+00.34,3.7351989277627267,3.745414414414415,-0.010215486651688366
G076.38-00.61,1.2866233312554398,1.2873693693693693,-0.0007460381139294814
G078.88+00.70,3.2917251872530717,3.288217217217217,0.0035079700358546795
G079.73+00.99,1.3381723977548452,1.3420140140140142,-0.0038416162591690117
G079.87+01.17,1.606831578294793,1.6098858858858858,-0.0030543075910927087
G080.79-01.92,1.594779996670147,1.5912322322322319,0.0035477644379151574
G080.86+00.38,1.4468045315832005,1.4425585585585583,0.004245973024642247
G081.75+00.59,1.493298269789402,1.4896336336336335,0.003664636155768397
G081.87+00.78,1.2877583439931397,1.3007807807807807,-0.013022436787641034
G090.21+02.32,0.6734256815878215,0.6744384384384384,-0.0010127568506169693
G090.92+01.48,5.507074995540852,5.509648648648648,-0.0025736531077962255
G092.67+03.07,1.6278630497764017,1.6234764764764764,0.0043865732999253115
G094.60-01.79,4.493998838732442,4.472164164164164,0.021834674568277812
G095.29-00.93,4.803955843277309,4.826891891891892,-0.022936048614583093
G097.53+03.18,7.287968621991667,7.288468468468468,-0.0004998464768011246
G100.37-03.57,3.439252011583464,3.4445375375375376,-0.005285525954073389
G105.41+09.87,0.8802911816327027,0.8760960960960961,0.004195085536606635
G107.29+05.63,0.7659670927521518,0.7604074074074074,0.005559685344744381
G108.18+05.51,0.9152538252400849,0.916068068068068,-0.000814242827983036
G108.20+00.58,4.19320619276131,4.296866866866867,-0.1036606741055568
G108.42+00.89,2.4264068711928473,2.4302362362362366,-0.0038293650433893767
G108.47-02.81,3.229495378382638,3.2155355355355355,0.01395984284710261
G109.87+02.11,0.8137111002691961,0.814996996996997,-0.0012858967278008837
G111.25-00.76,3.5511613001398805,3.5257997997998,0.025361500340080667
G115.05-00.04,2.741434061025175,2.758165165165165,-0.016731104139990016
G121.29+00.65,0.9260827223281924,0.931045045045045,-0.004962322716852596
G122.01-07.08,2.165755656411647,2.14863963963964,0.017116016772007026
G123.06-06.30,2.7777777777777737,2.8092522522522523,-0.0314744744744786
G123.06-06.30,2.3624640455985593,2.3567647647647645,0.005699280833794784
